CREDIT_ID	RETENTION_FIRST_QUOTA
25006	3.74
25011	14.25
25025	69.97
25030	40.77
25036	4.92
25048	6.64
25050	16.00
25057	10.00
25068	2.50
25071	9.80
25072	10.69
25084	4.67
25089	2.75
25090	4.67
25092	2.34
25093	9.33
25104	4.01
25106	6.11
25107	6.28
25108	9.75
25110	2.04
25113	8.67
25115	1.73
25116	7.80
25117	12.91
25118	8.13
25123	6.63
25124	3.38
25125	8.00
25127	1.43
25128	2.17
25129	2.64
25130	1.99
25133	11.38
25134	2.80
25135	2.80
25137	7.50
25138	6.40
25141	2.28
25142	5.12
25143	17.99
25148	1.47
25149	5.33
25150	14.00
25151	4.00
25158	4.67
25159	1.60
25160	1.97
25163	11.33
25164	2.75
25166	1.68
25167	3.90
25170	0.88
25171	2.50
25176	1.28
25178	2.96
25184	31.50
25185	3.38
25186	0.64
25187	1.60
25189	7.50
25197	4.00
25198	3.00
25203	0.83
25204	0.67
25211	0.97
25214	2.69
25215	0.67
25216	2.02
25218	1.66
25220	1.00
25221	2.29
25224	1.25
25225	6.83
25226	20.80
25227	2.16
25228	10.64
25232	12.42
25234	4.80
25243	32.40
25250	5.20
25259	4.45
25261	5.21
25271	15.33
25275	7.33
25278	8.80
25284	7.70
25287	17.16
25289	11.05
25295	3.67
25297	2.42
25298	8.07
25299	18.19
25315	21.11
25316	8.54
25317	16.54
25319	4.13
25320	17.50
25322	3.90
25323	3.96
25324	6.60
25325	2.94
25326	36.18
25335	16.68
25337	6.30
25341	2.40
25342	5.84
25344	2.89
25347	6.80
25350	3.85
25351	7.53
25353	8.59
25357	5.78
25361	3.29
25369	56.32
25371	6.93
25372	2.67
25374	13.39
25376	2.24
25385	5.39
25394	8.77
25395	10.67
25400	3.55
25402	6.55
25404	22.50
25406	18.75
25407	4.50
25409	2.00
25411	9.45
25417	5.10
25428	24.50
25437	31.87
25440	2.93
25444	8.25
25446	13.75
25450	25.67
25451	0.00
25453	20.50
25455	0.83
25457	3.10
25458	0.97
25459	5.00
25468	3.33
25474	7.43
25475	1.53
25476	0.78
25479	8.82
25480	2.04
25484	3.36
25488	1.49
25496	14.67
25500	0.63
25505	1.20
25508	9.33
25509	3.20
25513	1.93
25514	4.04
25528	5.25
25531	6.24
25534	11.76
25535	6.08
25541	3.20
25543	8.72
25547	5.44
25550	25.20
25555	6.72
25561	3.60
25562	5.68
25563	19.56
25568	9.36
25571	2.40
25572	2.24
25575	4.75
25579	6.75
25582	4.14
25583	23.00
25585	6.29
25586	3.76
25589	19.55
25598	51.83
25601	4.93
25604	2.60
25605	5.07
25609	46.67
25611	6.80
25613	1.87
25615	7.07
25618	16.15
25621	8.05
25625	8.06
25633	7.35
25639	17.35
25641	32.35
25647	8.36
25649	2.85
25659	13.80
25668	116.55
25669	19.74
25678	22.50
25690	1.28
25692	32.73
25694	6.52
25701	4.32
25702	4.00
25710	9.55
25713	20.48
25716	11.44
25719	16.47
25724	2.08
25727	30.33
25734	21.00
25736	10.00
25737	3.99
25740	10.72
25741	11.32
25756	3.96
25760	3.67
25763	3.67
25764	27.23
25767	16.43
25770	5.93
25772	10.00
25774	7.37
25776	26.50
25777	6.67
25780	1.23
25782	4.57
25784	4.52
25785	4.50
25786	21.00
25787	5.63
25788	45.45
25790	10.13
25791	6.00
25794	0.86
25797	8.80
25800	1.48
25802	1.43
25804	2.20
25805	5.94
25807	4.33
25811	6.50
25815	1.92
25818	0.56
25823	3.00
25836	17.33
25842	21.06
25844	3.47
25845	3.03
25846	6.85
25848	2.51
25850	7.19
25851	10.40
25852	30.55
25854	2.43
25856	44.33
25858	2.43
25860	7.89
25861	8.06
25864	60.67
25865	21.67
25873	24.18
25875	16.48
25877	7.28
25884	7.67
25887	2.68
25888	28.75
25889	3.53
25897	2.27
25910	5.06
25912	51.33
25913	2.57
25914	5.87
25917	18.33
25918	2.20
25919	6.93
25928	7.00
25930	2.26
25931	7.50
25932	10.00
25935	17.50
